,SessionId,VisitorId,ShopperId,serverTime,PageName,PageSection,PageStage,ActualDeviceUIType,UserAgent,_new_repeat,_visit_number,channel_id,customer_detail,CouponCode,OperatingSystem,ComboIdSelected,TilePositionSelected,PageNumberSelected,PerPageSelected,SessionStepSelected,GalleryActionSelected,ProjectFlowSelected,GeoCountry,GeoRegion,GeoState,GeoCity,GeoPostalCode,combo_id,attribute_id,attribute_name,attribute_value
10,1,1,1,54981,32,0,0,0,1012,1,11,17,79,0,5,10497,2,161,0,309,0,1,0,5,5,2209,5403,10497,1362,Color,White
28,446,442,2,16681,32,0,0,1,1376,0,0,1,2,0,2,10497,35,226,0,41,0,0,0,24,24,915,3453,10497,1362,Color,White
46,963,957,351,61507,23,0,0,2,591,0,0,1,0,0,0,10497,82,237,2,169,0,1,0,6,6,2630,5958,10497,1362,Color,White
64,1541,1538,2,11804,20,0,0,2,1257,0,0,22,2,22,2,10497,0,193,0,306,0,1,0,40,40,2046,988,10497,1362,Color,White
82,2582,3827,2,1479,20,0,0,1,1376,0,0,5,2,97,2,10497,0,150,0,218,0,1,0,46,46,1863,5390,10497,1362,Color,White
100,2582,3827,2,1566,20,0,0,1,1376,0,0,5,2,97,2,10497,0,150,0,218,0,1,0,46,46,1863,5390,10497,1362,Color,White
118,9839,9770,2,38160,23,0,0,1,1376,0,19,17,2,0,2,10497,3,0,0,310,0,1,0,39,39,196,6261,10497,1362,Color,White
136,9839,9770,2,38245,23,0,0,1,1376,0,19,17,2,0,2,10497,0,0,0,310,0,1,0,39,39,196,6261,10497,1362,Color,White
154,10722,10643,3882,41671,20,0,0,0,892,1,0,17,56,22,4,10497,4,79,0,74,0,1,0,11,11,1222,2293,10497,1362,Color,White
172,10722,10643,3882,41683,20,0,0,0,892,1,0,17,56,22,4,10497,4,79,0,74,3,1,0,11,11,1222,2293,10497,1362,Color,White
190,1,1,1,54984,32,0,0,0,1012,1,11,17,79,0,5,10498,2,161,0,309,0,1,0,5,5,2209,5403,10498,1362,Color,White
208,446,442,2,16697,32,0,0,1,1376,0,0,1,2,0,2,10498,35,226,0,41,0,0,0,24,24,915,3453,10498,1362,Color,White
226,2582,3827,2,1501,20,0,0,1,1376,0,0,5,2,97,2,10498,0,150,0,218,0,1,0,46,46,1863,5390,10498,1362,Color,White
244,5125,5095,1820,24669,20,0,0,0,1123,0,0,22,0,22,5,10498,24,0,0,18,0,1,0,12,12,375,2054,10498,1362,Color,White
262,9839,9770,2,38242,23,0,0,1,1376,0,19,17,2,0,2,10498,0,0,0,310,0,1,0,39,39,196,6261,10498,1362,Color,White
276,2,2,2,54986,20,0,0,0,838,0,0,1,2,0,4,4930,0,0,2,293,1,1,0,6,6,3176,6225,4930,1362,Color,White
285,12676,12585,2,45359,23,0,0,1,441,0,11,17,2,0,0,4930,0,226,0,332,0,1,0,11,11,2804,2443,4930,1362,Color,White
294,12676,12585,2,45397,23,0,0,1,441,0,11,17,2,0,0,4930,0,226,0,332,0,1,0,11,11,2804,2443,4930,1362,Color,White
307,1,1,1,54990,32,0,0,0,1012,1,11,17,79,0,5,10499,2,161,0,309,0,1,0,5,5,2209,5403,10499,1362,Color,White
325,1,1,1,55076,32,0,0,0,1012,1,11,17,79,0,5,10499,2,161,0,309,3,1,0,5,5,2209,5403,10499,1362,Color,White
